yy;SiteID;climatologico;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;cod_reg
2005;6686;1.9853413208101118;S. VALENTINO ALLA M;160080;160080;46.75;10.533;1461;11;CURON VENOSTA;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;4
2005;6690;7.154951527651207;BOLZANO;160200;160200;46.467;11.333;241;11;BOLZANO;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;4
2005;6691;0.12938336419504523;PASSO ROLLE;160210;160210;46.3;11.783;2006;11;SIROR;TRENTO;TRENTINO-ALTO ADIGE;Sinottica;4
2005;6692;0.0248979561858851;PAGANELLA;160220;160220;46.15;11.033;2129;11;FAI DELLA PAGANELLA;TRENTO;TRENTINO-ALTO ADIGE;Sinottica;4
2005;6693;1.7671366812384257;DOBBIACO;160330;160330;46.733;12.217;1226;11;DOBBIACO;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;4
2005;6694;8.997930654774777;AVIANO;160360;160360;46.033;12.6;128;11;AVIANO;PORDENONE;FRIULI-VENEZIA GIULIA;NA;6
2005;6697;4.290924729615555;TARVISIO;160400;160400;46.5;13.583;778;11;TARVISIO;UDINE;FRIULI-VENEZIA GIULIA;Sinottica;6
2005;6707;7.758682119248885;TORINO/CASELLE;160590;160590;45.217;7.65;287;11;SAN MAURIZIO CANAVESE;TORINO;PIEMONTE;Sinottica;1
2005;6709;9.04526621172329;TORINO/BRIC DELLA C;160610;160610;45.033;7.733;710;11;PECETTO TORINESE;TORINO;PIEMONTE;Sinottica;1
2005;6711;6.5150022011720985;MILANO/MALPENSA;160660;160660;45.617;8.733;211;11;FERNO;VARESE;LOMBARDIA;Sinottica;3
2005;6717;9.162532149508134;BERGAMO/ORIO AL SER;160760;160760;45.667;9.7;237;11;ORIO AL SERIO;BERGAMO;LOMBARDIA;Sinottica;3
2005;6718;9.390761938211352;MILANO/LINATE;160800;160800;45.433;9.283;103;11;PESCHIERA BORROMEO;MILANO;LOMBARDIA;Sinottica;3
2005;6720;8.142892419616581;PIACENZA;160840;160840;44.917;9.733;138;11;SAN GIORGIO PIACENTINO;PIACENZA;EMILIA-ROMAGNA;Sinottica;8
2005;6721;8.652010158623852;BRESCIA/GHEDI;160880;160880;45.417;10.283;97;11;GHEDI;BRESCIA;LOMBARDIA;Sinottica;3
2005;6723;8.919442724482588;VERONA/VILLAFRANCA;160900;160900;45.383;10.867;68;11;VILLAFRANCA DI VERONA;VERONA;VENETO;Sinottica;5
