mm;SiteID;climatologico;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;cod_reg
10;6794;11.765557148546396;GROSSETO;162060;162060;42.75;11.067;7;11;GROSSETO;GROSSETO;TOSCANA;Sinottica;9
10;6795;16.13612414019672;CIVITAVECCHIA;162140;162140;42.033;11.833;4;11;CIVITAVECCHIA;ROMA;LAZIO;Sinottica;12
10;6797;10.51683317578479;VITERBO;162160;162160;42.433;12.05;308;11;VITERBO;VITERBO;LAZIO;Sinottica;12
10;6800;4.555931725342181;MONTE TERMINILLO;162190;162190;42.467;12.983;1875;11;CANTALICE;RIETI;LAZIO;Sinottica;12
10;6801;11.421960152247774;RIETI;162210;162210;42.417;12.85;389;11;RIETI;RIETI;LAZIO;NA;12
10;6803;13.11378974195993;VIGNA DI VALLE;162240;162240;42.083;12.217;266;11;BRACCIANO;ROMA;LAZIO;Sinottica;12
10;6810;10.910709677419355;PESCARA;162300;162300;42.433;14.2;11;11;PESCARA;PESCARA;ABRUZZO;Sinottica;13
10;6812;15.752714126807565;TERMOLI;162320;162320;42;15;44;11;TERMOLI;CAMPOBASSO;MOLISE;Sinottica;14
10;6814;11.528651478385;GUIDONIA;162340;162340;42;12.733;89;11;GUIDONIA MONTECELIO;ROMA;LAZIO;Sinottica;12
10;6815;12.116716952471622;ROMA/URBE;162350;162350;41.95;12.5;24;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
10;6817;12.439379734096086;ROMA/CIAMPINO;162390;162390;41.783;12.583;105;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
10;6819;12.4347311827957;ROMA FIUMICINO;162420;162420;41.8;12.233;3;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
10;6820;12.612664068049762;LATINA;162430;162430;41.55;12.9;26;11;LATINA;LATINA;LAZIO;Sinottica;12
10;6821;10.39949372102107;FROSINONE;162440;162440;41.633;13.3;185;11;FROSINONE;FROSINONE;LAZIO;Sinottica;12
10;6822;13.801188940092166;PRATICA DI MARE;162450;162450;41.65;12.45;21;11;POMEZIA;ROMA;LAZIO;Sinottica;12
10;6826;10.657812384130516;CAMPOBASSO;162520;162520;41.567;14.65;807;11;CAMPOBASSO;CAMPOBASSO;MOLISE;Sinottica;14
10;6827;12.131726998252025;GRAZZANISE;162530;162530;41.05;14.067;10;11;CANCELLO ED ARNONE;CASERTA;CAMPANIA;Sinottica;15
10;6828;11.000281618023553;MONTE S. ANGELO;162580;162580;41.7;15.95;844;11;MONTE SANT'ANGELO;FOGGIA;PUGLIA;Sinottica;16
10;6834;11.950641779061593;AMENDOLA;162610;162610;41.533;15.717;60;11;SAN GIOVANNI ROTONDO;FOGGIA;PUGLIA;Sinottica;16
10;6836;9.124360400444939;TREVICO;162630;162630;41.05;15.233;1093;11;TREVICO;AVELLINO;CAMPANIA;Sinottica;15
10;6839;12.756666666666666;BARI/PALESE MACCHIE;162700;162700;41.133;16.783;49;11;BARI;BARI;PUGLIA;Sinottica;16
10;6841;17.02167779013719;PONZA;162800;162800;40.917;12.95;185;11;PONZA;LATINA;LAZIO;Sinottica;12
10;6844;13.507754648021612;NAPOLI/CAPODICHINO;162890;162890;40.85;14.3;72;11;NAPOLI;NAPOLI;CAMPANIA;Sinottica;15
10;6847;16.61858173985204;CAPRI;162940;162940;40.55;14.2;161;11;ANACAPRI;NAPOLI;CAMPANIA;Sinottica;15
10;6850;16.163657561900052;CAPO PALINURO;163100;163100;40.017;15.283;185;11;CENTOLA;SALERNO;CAMPANIA;Sinottica;15
10;6851;11.233362995921395;GIOIA DEL COLLE;163120;163120;40.767;16.933;350;11;GIOIA DEL COLLE;BARI;PUGLIA;Sinottica;16
10;6853;11.243635366705337;LATRONICO;163160;163160;40.083;16.017;896;11;LATRONICO;POTENZA;BASILICATA;Sinottica;17
10;6856;15.065461624026696;BRINDISI;163200;163200;40.65;17.95;10;11;BRINDISI;BRINDISI;PUGLIA;Sinottica;16
10;6857;15.81454483103339;GROTTAGLIE;163240;163240;40.517;17.4;69;11;GROTTAGLIE;TARANTO;PUGLIA;Sinottica;16
10;6858;13.880475678443421;MARINA DI GINOSA;163250;163250;40.433;16.883;12;11;GINOSA;TARANTO;PUGLIA;Sinottica;16
10;6859;12.814732468174515;LECCE;163320;163320;40.233;18.15;61;11;GALATINA;LECCE;PUGLIA;Sinottica;16
10;6863;14.552536773985382;BONIFATI;163370;163370;39.583;15.883;485;11;BONIFATI;COSENZA;CALABRIA;Sinottica;18
10;6865;6.846535679374389;MONTE SCURO;163440;163440;39.333;16.4;1720;11;CELICO;COSENZA;CALABRIA;Sinottica;18
10;6867;15.79547115843;CROTONE;163500;163500;39;17.067;161;11;ISOLA DI CAPO RIZZUTO;CROTONE;CALABRIA;Sinottica;18
10;6869;16.150549141447073;S. MARIA DI LEUCA;163600;163600;39.817;18.35;112;11;CASTRIGNANO DEL CAPO;LECCE;PUGLIA;Sinottica;16
10;6870;13.503878136200717;LAMEZIA TERME;163620;163620;38.9;16.25;15;11;LAMEZIA TERME;CATANZARO;CALABRIA;Sinottica;18
10;6874;17.8487541218638;USTICA;164000;164000;38.7;13.183;251;11;USTICA;PALERMO;SICILIA;Sinottica;19
10;6876;17.45389247311828;PALERMO/PUNTA RAISI;164050;164050;38.183;13.1;21;11;CINISI;PALERMO;SICILIA;Sinottica;19
10;6881;18.229898207885306;MESSINA;164200;164200;38.2;15.55;51;11;MESSINA;MESSINA;SICILIA;Sinottica;19
10;6882;17.25741975308642;REGGIO CALABRIA;164220;164220;38.067;15.65;21;11;REGGIO CALABRIA;REGGIO CALABRIA;CALABRIA;Sinottica;18
10;6883;15.888490322580646;TRAPANI/BIRGI;164290;164290;37.917;12.5;14;11;MARSALA;TRAPANI;SICILIA;Sinottica;19
10;6884;11.623420547790621;PRIZZI;164340;164340;37.717;13.433;1035;11;PRIZZI;PALERMO;SICILIA;Sinottica;19
10;6888;12.70869118909764;ENNA;164500;164500;37.567;14.283;965;11;ENNA;ENNA;SICILIA;Sinottica;19
10;6889;18.066322831519877;GELA;164530;164530;37.083;14.217;65;11;GELA;CALTANISSETTA;SICILIA;Sinottica;19
10;6891;14.524815668202764;CATANIA/SIGONELLA;164590;164590;37.4;14.917;22;11;LENTINI;SIRACUSA;SICILIA;Sinottica;19
10;6893;14.351720430107527;CATANIA/FONTANAROSS;164600;164600;37.467;15.05;17;11;CATANIA;CATANIA;SICILIA;Sinottica;19
10;6897;18.472636262513905;PANTELLERIA;164700;164700;36.817;11.967;170;11;PANTELLERIA;TRAPANI;SICILIA;Sinottica;19
10;6901;18.356511497105046;COZZO SPADARO;164800;164800;36.683;15.133;51;11;PORTOPALO DI CAPO PASSERO;SIRACUSA;SICILIA;Sinottica;19
10;6902;21.019899394388826;LAMPEDUSA;164900;164900;35.5;12.6;20;11;LAMPEDUSA E LINOSA;AGRIGENTO;SICILIA;Sinottica;19
10;6906;12.842043010752688;ALGHERO;165200;165200;40.633;8.283;40;11;ALGHERO;SASSARI;SARDEGNA;Sinottica;20
10;6907;16.553208173690933;CAPO CACCIA;165220;165220;40.567;8.167;204;11;ALGHERO;SASSARI;SARDEGNA;Sinottica;20
10;6910;12.68462365591398;OLBIA/COSTA SMERALD;165310;165310;40.9;9.517;13;11;OLBIA;SASSARI;SARDEGNA;Sinottica;20
10;6914;16.16066387968218;CAPO FRASCA;165390;165390;39.75;8.467;95;11;ARBUS;CAGLIARI;SARDEGNA;Sinottica;20
10;6919;13.740652329749103;DECIMOMANNU;165460;165460;39.35;8.967;28;11;VILLASOR;CAGLIARI;SARDEGNA;Sinottica;20
10;6922;16.126417562724015;CAPO BELLAVISTA;165500;165500;39.933;9.717;150;11;TORTOLI';NUORO;SARDEGNA;Sinottica;20
10;6923;14.178605734767025;CAGLIARI/ELMAS;165600;165600;39.25;9.067;5;11;ELMAS;CAGLIARI;SARDEGNA;Sinottica;20
10;6925;18.09318225616978;CAPO CARBONARA;165640;165640;39.1;9.517;118;11;VILLASIMIUS;CAGLIARI;SARDEGNA;Sinottica;20
